model,feature_num,baseline,kaggle_score,improvement,tuned,params
xgb,"1, 2",0.75119,0.76076,0.00956,0,
xgb,"1, 3",0.75119,0.78229,0.0311,0,
xgb,"1, 4",0.75119,0.78708,0.03588,0,
xgb,"1, 5",0.75119,0.76076,0.00956,0,
xgb,"1, 6",0.75119,0.78947,0.03827,0,
xgb,"1, 7",0.75119,0.78708,0.03588,0,
xgb,"1, 8",0.75119,0.78708,0.03588,0,
xgb,"1, 9",0.75119,0.78708,0.03588,0,
xgb,"1, 10",0.75119,0.78708,0.03588,0,
xgb,"1, 11",0.75119,0.78468,0.03349,0,
xgb,"2, 3",0.75119,0.76555,0.01435,0,
xgb,"2, 4",0.75119,0.77272,0.02152,0,
xgb,"2, 5",0.75119,0.75837,0.00717,0,
xgb,"2, 6",0.75119,0.76315,0.01195,0,
xgb,"2, 7",0.75119,0.76076,0.00956,0,
xgb,"2, 8",0.75119,0.76794,0.01674,0,
xgb,"2, 9",0.75119,0.77751,0.02632,0,
xgb,"2, 10",0.75119,0.76555,0.01435,0,
xgb,"2, 11",0.75119,0.77272,0.02152,0,
xgb,"3, 4",0.75119,0.78229,0.0311,0,
xgb,"3, 5",0.75119,0.75837,0.00717,0,
xgb,"3, 6",0.75119,0.77033,0.01913,0,
xgb,"3, 7",0.75119,0.77751,0.02632,0,
xgb,"3, 8",0.75119,0.78468,0.03349,0,
xgb,"3, 9",0.75119,0.78468,0.03349,0,
xgb,"3, 10",0.75119,0.77751,0.02632,0,
xgb,"3, 11",0.75119,0.78708,0.03588,0,
xgb,"4, 5",0.75119,0.75837,0.00717,0,
xgb,"4, 6",0.75119,0.77751,0.02632,0,
xgb,"4, 7",0.75119,0.78468,0.03349,0,
xgb,"4, 8",0.75119,0.78468,0.03349,0,
xgb,"4, 9",0.75119,0.78468,0.03349,0,
xgb,"4, 10",0.75119,0.78468,0.03349,0,
xgb,"4, 11",0.75119,0.79186,0.04066,0,
xgb,"5, 6",0.75119,0.75358,0.00239,0,
xgb,"5, 7",0.75119,0.76555,0.01435,0,
xgb,"5, 8",0.75119,0.77751,0.02632,0,
xgb,"5, 9",0.75119,0.7799,0.02871,0,
xgb,"5, 10",0.75119,0.76315,0.01195,0,
xgb,"5, 11",0.75119,0.78229,0.0311,0,
xgb,"6, 7",0.75119,0.76315,0.01195,0,
xgb,"6, 8",0.75119,0.77033,0.01913,0,
xgb,"6, 9",0.75119,0.77272,0.02152,0,
xgb,"6, 10",0.75119,0.76315,0.01195,0,
xgb,"6, 11",0.75119,0.77751,0.02632,0,
xgb,"7, 8",0.75119,0.78468,0.03349,0,
xgb,"7, 9",0.75119,0.78468,0.03349,0,
xgb,"7, 10",0.75119,0.77751,0.02632,0,
xgb,"7, 11",0.75119,0.78229,0.0311,0,
xgb,"8, 9",0.75119,0.78468,0.03349,0,
xgb,"8, 10",0.75119,0.78468,0.03349,0,
xgb,"8, 11",0.75119,0.78708,0.03588,0,
xgb,"9, 10",0.75119,0.78468,0.03349,0,
xgb,"9, 11",0.75119,0.78708,0.03588,0,
xgb,"10, 11",0.75119,0.78229,0.0311,0,
xgb,"1, 2, 3",0.75119,0.76076,0.00956,0,
xgb,"1, 2, 4",0.75119,0.77033,0.01913,0,
xgb,"1, 2, 5",0.75119,0.75358,0.00239,0,
xgb,"1, 2, 6",0.75119,0.76794,0.01674,0,
