model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
rf,1,1,0.79106,0.80335,0.01815,0.01229,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': True}","[0.78770950, 0.79329609, 0.80446927, 0.83798883, 0.79329609]"
rf,1,2,0.79106,0.77095,0.02782,-0.0201,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_leaf_nodes': 50, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': True}","[0.77653631, 0.76536313, 0.74301676, 0.82122905, 0.74860335]"
rf,1,3,0.79106,0.78212,0.02644,-0.00893,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_leaf_nodes': 20, 'max_features': None, 'max_depth': 10, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}","[0.79329609, 0.77094972, 0.74860335, 0.82681564, 0.77094972]"
rf,1,4,0.79106,0.8,0.02582,0.00894,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_leaf_nodes': 20, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
rf,1,5,0.79106,0.79777,0.01815,0.0067,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 20, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}","[0.78212291, 0.78770950, 0.78770950, 0.83240223, 0.79888268]"
rf,1,6,0.79106,0.79106,0.01922,0.0,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': False}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
rf,1,7,0.79106,0.79106,0.01922,0.0,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': False}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
rf,1,8,0.79106,0.7933,0.0209,0.00224,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.79329609, 0.78770950, 0.78212291, 0.83240223, 0.77094972]"
rf,1,9,0.79106,0.79888,0.0262,0.00782,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.79888268, 0.78770950, 0.77653631, 0.84916201, 0.78212291]"
rf,1,10,0.79106,0.80559,0.02301,0.01453,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
