model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
dt,0,1,0.75754,0.8067,0.02705,0.04915,,"[0.79888268, 0.79329609, 0.78770950, 0.86033520, 0.79329609]"
dt,0,2,0.75754,0.77542,0.03006,0.01788,,"[0.77653631, 0.75418994, 0.74860335, 0.83240223, 0.76536313]"
dt,0,3,0.75754,0.77765,0.03284,0.0201,,"[0.79329609, 0.77094972, 0.72625698, 0.82681564, 0.77094972]"
dt,0,4,0.75754,0.8,0.02582,0.04246,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
dt,0,5,0.75754,0.79777,0.02072,0.04022,,"[0.77653631, 0.80446927, 0.79888268, 0.83240223, 0.77653631]"
dt,0,6,0.75754,0.78771,0.02235,0.03017,,"[0.79329609, 0.78212291, 0.77653631, 0.82681564, 0.75977654]"
dt,0,7,0.75754,0.79106,0.01922,0.03351,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,0,8,0.75754,0.8,0.02582,0.04246,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
dt,0,9,0.75754,0.80559,0.02301,0.04805,,"[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
dt,0,10,0.75754,0.79106,0.01922,0.03351,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,0,11,0.75754,0.78212,0.02596,0.02458,,"[0.77653631, 0.76536313, 0.77653631, 0.83240223, 0.75977654]"
